country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
PRT,Portugal,Vila Lobos,WRI1022492,10.0,41.0693,-7.8813,Wind,,,,1998.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,24.50463647712719
PRT,Portugal,Vila Nova,WRI1022493,26.0,40.0461,-8.2754,Wind,,,,2004.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,63.71205484053069
PRT,Portugal,Vila Nova II,WRI1022494,28.6,40.0537,-8.2523,Wind,,,,2009.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,70.08326032458376
PRT,Portugal,Vila Viçosa,WRI1022817,4.0,40.9952,-8.2106,Hydro,,,,1993.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,23.781629806734422
PRT,Portugal,Vila do Bispo I,WRI1022489,2.0,37.0988,-8.8613,Wind,,,,1998.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,4.900927295425438
PRT,Portugal,Vila do Bispo II,WRI1022490,10.5,37.0964,-8.8723,Wind,,,,2003.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,25.72986830098355
PRT,Portugal,Vilar-Tabuaço,WRI1022563,58.0,40.9869,-7.5358,Hydro,,,,1965.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,344.83363219764914
PRT,Portugal,Vilarchão,WRI1022495,2.0,41.6443,-8.0548,Wind,,,,2005.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,4.900927295425438
PRT,Portugal,Viso,WRI1022496,1.2,41.4083,-8.0674,Wind,,,,2006.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,2.9405563772552625
PRT,Portugal,Windplus,WRI1022497,2.0,41.4313,-8.8423,Wind,,,,2011.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,4.900927295425438
PRT,Portugal,Águas Frias,WRI1022660,2.4,40.8094,-8.0508,Hydro,,,,2002.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,14.268977884040654
QAT,Qatar,Al Saliyah GT Power Plant Qatar,GEODB0002017,134.0,25.2065,51.3926,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,491.5365946150929
QAT,Qatar,Al Wajbha GT Power Plant Qatar,GEODB0002019,301.0,25.2997,51.4046,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,1104.123246113007
QAT,Qatar,Doha South Super GT Power Plant Qatar,GEODB0002951,67.0,25.1940,51.5246,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,245.76829730754645
QAT,Qatar,Mesaieed CCGT Power Plant Qatar,GEODB0042859,2007.0,24.9753,51.5783,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,7362.044368600683
QAT,Qatar,Qatalum CCGT Power Plant Qatar,GEODB0045477,1350.0,24.9713,51.5811,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,4952.047781569965
QAT,Qatar,Ras Abu Fontas A OCGT Cogen Power Plant Qatar,GEODB0005018,626.0,25.2058,51.6174,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,2296.282897231703
QAT,Qatar,Ras Abu Fontas B OCGT Cogen Power Plant Qatar,GEODB0005019,609.0,25.1989,51.6166,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,2233.9237770193404
QAT,Qatar,Ras Abu Fontas B-1 OCGT Power Plant Qatar,GEODB0005020,376.0,25.1978,51.6167,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,1379.237011755783
QAT,Qatar,Ras Abu Fontas B-2 OCGT Cogen Power Plant Qatar,GEODB0005021,567.0,25.1964,51.6159,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,2079.8600682593856
QAT,Qatar,Ras Laffan A Cogen GT Power Plant Qatar,GEODB0005022,756.0,25.9228,51.5452,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,2773.1467576791806
